,prod,title,date,ver.purchase,format,stars,comments,attitude
11,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    I have been buying these for four years now
  
",10-Nov-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          So I started buying these socks over four years ago when I was first dating my ex. I have a bad knee and they were very soft, and cushiony. And even though I have a size 7 1/2 women’s and he wore a size 11 1/2 men’s, I was still successful in stealing all of these socks because I loved them so much. They definitely wear down overtime and I can always tell which ones are newer and which ones are older. But with the amount that I wear these, especially in my home that has hardwood flooring, this helps give some padding in between my feet and the floor, so my knee does not hurt as easily or quickly. They are super soft, super plush, and I have never been disappointed. I buy an extra large in these, and it makes them even softer and thicker because the extra large is made to sit and stretch to larger feet. I will NEVER buy any other pair of socks again. When my relationship with my ex ended terribly, I still messaged him specifically for the link to the socks because I need a new pairs, and there was no way I was going to buy any other brand or type of socks lololol. I will live in these now, and I will demand to be buried in these when I pass hahah  ",compliment
12,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Hurray Under Armour!
  
",29-Aug-17,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,5,"          My husband has huge feet with a high instep.  It's impossible to find him socks that fit,  much less half or short type socks. Hurray!!  These Under Armour not only fit, the quality is amazing, they wash and dry without shrinking (or stretching, which can be worse!) and they stay really white. Great price too. I also bought another package of Under Armours - essentially the same with a different title - and they are great also.  ",compliment
13,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Nope!!! Not the real deal
  
",18-Dec-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,1,"          I believe these socks are fake.  The ones we recieved were worn once by my son and are falling apart. They look very scraggly after just one wear. We have socks 2 years old that look better! After recieving a 2nd package that appeared the same way, I ran to a local store and picked up the same package of socks. Pictured left. They actually say the size on the bottom like his old socks, the design is slightly different and the sock is smaller overall. We are returning these. Amazon should pull this vendor.  ",complaint
14,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Waste of my money for socks worse than cheaper alternatives!
  
",11-Nov-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,1,"          I bought a 6-pack of the black and white version of the Under Armour Men's Resistor III Lo Cut Socks and both of them had all the socks with terrible stitching. I spent $11.04 for the black 6-pack socks and $14.73 for the white 6-pack socks for a total of $27.70 at checkout. I don't know how someone could charge that much for socks with terrible quality like displayed in those photos. Clearly Under Armour is not a brand that focuses on the quality of their products before shipping them to a customer. I'll just stick to the brands I know that don't give me socks with a mess like this on the inside. If they can replace these socks for something with quality I'd expect then I'll change this review, but until then I recommend staying away from this product.  ",complaint
15,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Most comfortable socks I own
  
",24-Aug-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,"          These are easily the most generally-comfortable socks I own.  They're a perfect every-day sock.  Soft and thick, but not too thick to be too hot in the summer.  Supportive, but not overly supportive.  And they've lasted for a while now without noticeably losing either of those things.  I go with a more supportive sock with an extra heel tab for hiking, and a thinner sock for doing things like lawn work, but find myself wearing these socks first for the normal every-day, and I'm actually a little bummed if I run out and have to switch to other socks before laundry day.  Never thought I'd see the day I had a favorite pair of socks.  I guess this is what it's like getting old?  ",compliment
16,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable and durable, but inside of sock has a lot of stray/loose threads
  
",20-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,4,"          They're good socks, and they come up to ankle height on my feet, which is the style I prefer. My only feedback is that they leave a lot of fuzz, and the if you turn the sock inside out you'll see a lot of loose threads, or the ends of threads. It doesn't affect the comfort, but it just seems very unusual and I think it contributes to more lint.  ",neutral
17,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Will buy again
  
",9-Feb-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          I apparently have acid feet (according to my wife), my feet will start creating holes in socks almost within seconds of slipping them on, in the past I've went with nike dri-fit socks that seem to last longer than the old school socks from target, however it was time to get a few extra pairs (nike socks are starting to grow holes as well).  I purchased these because they were cheaper than the nike socks, man what a pleasant surprise, they seem much more durable and are softer than a donald trump hair plug.  Stop what you are doing and order them now  ",compliment
18,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Absolutely horrid. Goes into the bin after one wear.
  
",3-Feb-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          These have to be some of the worst socks I've ever bought. First, I have had this exact sock (brand and style) for a few years (picked them up at Costco.) The ones being sold here are so different that unless someone can prove me wrong, I am highly suspicious that these are counterfeit. Either that or UA has gone steeply downhill. You can clearly see that the sewing on these socks is a quick technique and is poorly done. The seams aren't finished. The first pair I took out of the package to put on, one sock immediately said if you pull too hard your toes just might go through the front. I bought two packs of these (white & black) and both are just so so bad. Also, the quality of the fabric is MUCH much more different than my other UA socks which are sturdier and have a better shape. Poorly sewn, very cheap fabric. I'll either order directly from their site or find another brand. My UA socks from Costco have lasted YEARS and I can already tell these will be single-use socks. Shame.  ",complaint
19,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    very poor quality
  
",14-Jan-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          I purchased these socks for my son due to strong recommendations from online reviews. However, after one wear and wash they are unravelling. I love UA clothing, but have never purchased Under Armour socks before. These stink! Not sure if they are from the manufacturer or a fake, Amazon should look into it, but they certainly will not hold up more than a couple of wears. Wish I could get my money back. Buyer beware!!  ",complaint
20,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    In agreement with opinion that these are knock-offs
  
",4-Feb-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          Just spend a few extra dollars and purchase actual Underarmour from your local sporting goods store. I usually do. Immediately comparing these to store bought they are noticeably thinner material and no where near as soft to the touch. After a single wear each pair had noticeable wear and tear and had little material “burrs” fraying all over the soles. I’ve had store pairs that look better after a year or more wearing. Thought I’d take a quick easy path to make sure i had plenty for a 4 week vacation. Didn’t figure these are almost “disposable” quality. Heed everyone’s comments regarding the size printed on the bottom. If it doesn’t have it, I’m in agreement that they are knock-offs.  ",complaint
21,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Too warm
  
",2-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          The material is wicking as evidenced by how quickly it dries after washing. But the material is too thick and keeps the feet too warm. I estimate the material is at least twice as thick as normal socks. I can't believe someone would wear socks in winter, since they wouldn't cover much above the ankle. So I'm not sure who the target consumer group is.I never have smelly feet. but after wearing these for half a day on a medium warm day, I could smell my feet. fortunately i was able to return them.  ",complaint
22,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Was concerned with reviews, but glad I ordered them.
  
",26-Oct-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,"          These had been the best socks I’d ever bought (from UA store). So when I needed more, I found them here, however, I almost didn’t order due to bad reviews of people receiving low-quality fake product.I went ahead and ordered knowing I’d return them if they weren’t authentic.I’m so glad I did because I received the desired socks at a great price.  They have have the size on the sole as they’re supposed to.  Now I’m going to order more in black.  ",compliment
23,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Sock tore the first time I put it on
  
",19-Mar-22,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,2,"          I've heard so much about Under Armor socks, and overall I do like them. But I was very disappointed that one of them tore at the seem the first time I tried to put it on. Contacted Under Armor and was told they were not willing to do anything about it.  Very disappointing experience with what is supposed to be a quality product.  The sad thing is I have enjoyed the other socks, but the quality of this one forces a low rating.  ",complaint
24,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Horrible
  
",4-Apr-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,          I purchased 2 different types of socks at the same time to try them out and love my other ones - these have lasted all of 4 washes before they are stretched out and failing.  I have already thrown out 20% of them.  I have some that were opened later and I had to ask my wife if she bought some for my young kids because the new ones were half the size of socks only 2 months old.  They are thin and no good for jogging.  I will avoid at all costs.  ,complaint
25,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks!
  
",20-Aug-21,1,Number of Items: 12Black/Graphite (12-pairs)Size: X-Large,5,"          These socks are great. I have a size 15 foot so finding well-fitting, comfortable socks is almost impossible for me to find. Being skeptical, I was certain I would hate these and have to return them to just have to keep shopping for others. I’m glad I was wrong, these are the best socks I have ever wore, and I will buy these again and again. They fit so nice on my foot, not too tight or too loose, and they don’t ride down on my foot as I walk in any shoes I wear. Wether I wear my work boots, gym shoes, casual shoes, or cowboy boots, these socks don’t move at all and offer all-day comfort. Do yourself a favor and buy a pack of these socks, you won’t regret it.  ",compliment
26,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Son says feet no longer hurt
  
",28-Jan-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,          My eight-year-old son kept complaining that his feet were hurting. We had just got him new shoes so I decided to buy these socks to see if that helped. My son love this sucks so much I have since bought three more packs. He says he will never wear any other type of socks and these make his feet feel so comfortable. He no longer complains that his feet hurt at the end of the day. My 14-year-old son even goes into my nine-year-old sons room and steals his socks to wear. Looks like I’ll be buying another pack Two for my older son  ,compliment
27,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks for short pants and exercise
  
",18-Aug-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          I've been buying these socks for years for walking, running, hiking, etc.  Can't go wrong with UA.  The quarter length is perfect to keep my shoe from rubbing (not too short and not too long) and they are slightly cushioned.  I weigh over 200 lbs and put a beating on them.  Can get anywhere from 6 months to 1 year use before replacing.  Some folks complain about them wearing out too soon, but for the price and the importance of my feet, I don't mind replacing them regularly when I use them almost daily - need to take care of your feet.  ",compliment
28,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks
  
",6-Apr-19,1,Number of Items: 6Petrol Blue AssortedSize: Medium,5,          These are great socks! My feets dont sweat in these and are very comfortable!  ,compliment
29,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not the same socks that used to be sold. These are not the same product!
  
",11-Jun-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,1,"          The first time I bought these socks was about a year ago and they were awesome. Very comfortable, soft, and tight fitting. At the time I got the large and they fit great. Now these socks are totally different.  You can tell because they don't have the size on the sole. They are thicker, not as soft, not as tight fitting, and fray very quickly. This time I got the size medium after a return of the large and they are still too big. They all started fraying after one use. They are not nearly as breathable as they used to be either and get really hot.  ",complaint
30,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    These must be knockoffs
  
",14-May-18,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          I’ve purchased under armour socks in the past which is why I decided to order some more because I feel the quality and fit was excellent. After wearing the socks and washing the first time they shrank , ultimately looking like socks for an infant. Although they would still stretch over my feet they were extremely tight and one sock ripped. Upon inspection I noticed loose threads and realized the poor quality. Not sure where these socks originated from but not what I would expect from under armour.  ",compliment
31,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Tear at the Ankle
  
",12-Jun-19,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,2,"          These started out great, but each sock has a point of weakness near the ankle (where the gray ""spikes"" up a bit). This is where the sock will easily tear. The long version of these socks are great. I purchased 2 packs separately; in one pack, the socks were thinner than the socks in the other pack. (The long versions are thicker than the thickest of the Lo Cut versions). If they could get the quality of manufacture up and consistent, and solve the design flaw, this could be a great, comfortable sock.  ",neutral
32,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Wrong number of pairs
  
",10-Apr-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,3,          So when I ordered these socks the discrimination very clearly said 12 PAIRS of socks. I was super excited about that I even showed my wife. When I recieved them it was only 6 pairs and the discrimination had changed to not even mention the number of pairs. Good socks but poor business management.  ,neutral
33,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Most comfortable socks ever!
  
",15-Jul-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          My husband who is in his early 60's has always hated socks  that is until he tried these!!!  He LOVES these socks!!!  They are comfortable, don't creep up on the heel and moisture wicking.  Many benefits and most of all my guy is wearing socks finally!  Never too old for something new!  Give them a try.  You may never want to take them off - except to wash them, lol  ",compliment
34,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Most Durable Socks I've Ever Owned.
  
",23-Feb-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          I never even considered writing a review for these, but I felt like I should after my experience. I bought these socks in May of 2020, so we are coming up on a year of owning them. I have worn them every single day since then, and I have yet to throw away even a single sock from this one order due to wear. I don't think I can say that about any other socks I have bought.Other than the sturdiness, I find them to be very comfortable and they do a great job of keeping my feet warm.  ",compliment
35,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Fake
  
",24-Feb-22,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          I’ve purchased several packs of these same socks from Macys and loved them because they were authentic UA. These socks on Amazon are all fakes and wear out after a few washes. This will be the demise of Amazon. Businesses should be suing the crap out of Bezos for selling fakes.  ,complaint
36,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Highly recommend for sweaty, stinky, and wide feet
  
",5-Feb-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          Husband loves these. In regular socks his feet sweat and stink BAD. But these socks keep his feet fresh and dry. He was concerned about fit because he has 4E wide feet, but these fit prefectly. They comfortably hug his feet, wick away moisture, and have some noticeable padding that make standing for 8 hours straight a more pleasant experience. These are the only socks he wants to wear now.  ",compliment
37,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable but not realistic for working out
  
",10-Feb-21,1,Number of Items: 6Petrol Blue AssortedSize: Medium,3,"          The socks are comfortable but I have had trouble with the socks slipping, so they do not stay on my feet all the time. They tend to slip down as I walk and I’m constantly having to take my shoes off and pull it back up where it’s supposed to be. Also a thin get material than I was expecting.  ",complaint
38,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Better than the competition
  
",27-Sep-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          I have bought Nike socks for decades, and until their latest stunt of putting Collin Crapernick as a spokesman, I decided to try Under Armor hoping to come close to Nike. To my surprise, these socks are better in quality and design. With the Nike ones, I had a lot of lints on my feet after I wore them and I could see how their quality had shifted to the point that I could see them showing signs of wear within a year of use. With the Under Armor ones, I don't have those issues, so looking forward to replace all Nike crap with a better quality and price brand like Under Armor  ",compliment
39,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Probably counterfeit, 10x worse than the last set I got same brand same name...
  
",23-Aug-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          There are terrible.  I bought these twice before and they were great.  They are totally different.  slightly different color, shape is elongated and weird.  And they were definitely sown by children in some 3rd world sweatshop.  The same pair I ordered from Amazon before are in good condition, these fell apart after their first wash, holes etc.  DO NOT BUYI made the mistake of thinking the other reviews might be wrong because I loved these socks.  When they were actually made by Under Armour and not Under Armooor  ",complaint
40,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Protect your feet!
  
",26-Jul-16,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,4,"          Great socks, they always keep my feet dry and keep then from sweating too badly in the summer.  Price is something to be desired, but they last for years. My first pairs are just now giving out after 5 years of use/wash/wear.  ",compliment
41,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Nice premium socks
  
",21-May-17,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,5,"          Great socks. Just enough cushion but not too thick. Back of socks do not pull down my heel like some so called "" premium "" socks. Best of all they are available in XL so they are still not too tight after numerous washes on my size 13's.  ",compliment
42,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Excellent!
  
",26-Sep-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          My husband loves these socks. We've purchased them numerous times over the years.  He is a letter carrier and is on his feet all day long. Because they get so much use, we purchase them about every 6 months or so. These give him superb support and comfort in his sneakers.  For reference he wears a size 10 1/2 shoe.  These fit great.  They are a not no-show sock, but definitely low cut.  They launder very well; the quality is great! And so is the price for 6 pairs! Absolutely recommend.  ",compliment
43,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    False Advertising
  
",25-Apr-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,          Great. Except when we originally bought it it said 12 pair for a particular price. We purchased the first set and then 5 minutes later bought a second 12 pack. We got the first 12 pack but this one only came up as 6. Then we noticed that the whole description of the product changed from a 12 pack to a 6 pack. False advertising at its finest.  ,neutral
44,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Socks are fraying less than 3 weeks after purchase
  
",28-Jan-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          Noticed when I received them that they had fraying thread all through the inside but I thought maybe it would stay on the inside.  After three weeks (wearing one day per week and then washing), the outsides are now showing the same fraying.  Very unhappy.  My last socks were Nike and they lasted about 6 months before any wear started.  Guess I'll be buying Nike again.  ",complaint
45,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Super soft, cusshiony and doesn’t cut off circulation
  
",11-Mar-22,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          I was looking for a low cut sock that doesn’t pinch in at the top and cut off circulation and this was the one. They’re also super soft and velvetty in the inside and have some nice cushion on the bottom while still feeling breathable  ,compliment
46,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Terrible quality; don't buy.
  
",19-Nov-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          Put on the first set of these socks about 4 and a half hours ago, and have just been wearing these socks at my desk.  The SOFT carpet at my feet has been enough to unravel the bottom of these socks.  The fit is a bit tight, but not so tight as to cause such failure of the material.  Save your money, and buy local, where you can stress test the material.  ",neutral
47,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Slightly larger than they used to be
  
",7-Dec-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,4,"          I like these, I’ve had some in the past and have purchased them again. I feel like Under Armour’s “medium” has gotten slightly bigger though. I’ve purchased mediums in the past of this sock and the crew version, and they fit perfect, but now the heal doesn’t sit quite right and goes up the back a bit. Maybe my feet have shrank, but I doubt it.  ",neutral
48,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great Ankle Socks - While They Last
  
",18-Apr-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,3,"          These socks fit great, have really nice material and breathe well. They also have a nice design and intricate stitching. The stitching does lead to durability concerns. I've purchased these on two occasions and the first batch lasted an adequate amount of time but did start to fall apart at the seems. This latest batch, however, isn't holding up for as long and I feel the wearing is premature.Just note that the areas with grey meeting black are stitching and that's added points of failure with these socks.  ",compliment
49,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not the same...
  
",8-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,3,"          These are not the same as you buy in stores.  They seem a little smaller, thinner, and not finished as nice....they are rough on the inside, shrink up quick.Won't buy again.  ",complaint
50,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Super comfy and breathable
  
",23-Sep-21,1,Number of Items: 6Black/Cerise AssortedSize: Medium,5,"          I bought these in a store first but then after wearing a couple pairs of them for the first few times I couldn't believe how comfy they were and breathable! I didn't have the availability to return to a store sooner than I wanted more so I searched for them on Amazon and the cost was very similar to store which I couldn't believe! Definitely a worthy purchase for quality made, comfy and breathable socks for kids or adults that are constantly on their feet.  ",compliment
51,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable!
  
",16-Aug-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,4,"          Under Armour Adult Resistor 3.0 Low Cut SocksI like these a lot - in fact, I got rid of all my other white socks and replaced them with these.Very comfortable when working out (treadmill),I wish they made the same sock in gray though.  ",compliment
52,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Excellent value!
  
",19-Dec-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,"          I waited a while to review these socks to see if they stood up to the washer. They have indeed! And after many washes, they are still like new! Plus, none of them have run away! :-) Great quality, great fit and overall fantastic purchase as compared to all the other socks I have bought in the past. Well worth the money!  ",compliment
53,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Durability TBD
  
",15-May-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,4,"          Socks are comfortable and don’t slip. I’m a 14 shoe and struggle with socks slipping when wearing shoes, but these have extra support that prevent that.As for “durability,” the stitching where the gray and black meet above the toe area has a ton of loose threads just after one wash. They’re holding up, but I’m not too hopeful they’ll last a full year. We’l see...  ",compliment
54,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great fit!
  
",22-Dec-20,1,Number of Items: 6Black/White (6-pairs)Size: Medium,5,          My entire family loves these socks!  They fit very nicely; I love that they have multiple sizes - the men's medium fits females perfectly.  They are thicker than average and have support in all the right places.  They are the perfect height for us; just over the ankle - not too tall or too short.  They don't slide down in my shoes when walking.  I can walk all day and my feet don't hurt like they often do.  ,compliment
55,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    These are socks, and they do what socks do
  
",2-Dec-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          These are socks, and what I like about this is they come in pairs of two. Coincidentally I have two legs, and attached to those legs I have two feet. I feel like the manufacturer really thought about ME, the consumer, when deciding to include these socks in pairs of two. These socks keep both of my feet warm, and they are soft and make me oversized shoes fit snug. Overall, I’d say me buying these socks were a major success, and if you have two feet like I do fear not! It’s all about that PAIRS! (Not to be confused with pears, these are socks, not an edible snack suitable for a tasty afternoon treat.)  ",compliment
